elements;atomic_radius;lattice_parameter;burgers_vector;poisson_ratio;young_modulus;shear_modulus;atomic_size;Tm;PSFE_el
Al;1.3126249;3.7813;2.6252497;0.35;64.5582347;26;1.432;933.74;D
Co;1.2530841;3.5856;2.5061682;0.31;269.175053;75;1.251;1768;B
Cr;1.2843456;3.7188;2.5686911;0.21;191.1618146;115;1.249;2180;A
Cu;1.2744841;3.6047854;2.5489682;0.34;128.0604534;51;1.278;1357.77;D
Fe;1.28855;3.6523;2.5770999;0.29;194.4118575;82;1.241;1811;B
Mn;1.3550076;3.6993;2.7100152;0.35;38.0373904;76;1.35;1519;C
Nb;1.4846432;4.199205;2.9692863;0.72;112.7306227;-63;1.429;2750;D
Ni;1.24;3.5239;2.4918566;0.31;209.9328859;76;1.246;1728;D
Si;1.2256518;3.4666667;2.4513035;0.46;186.616245;7;1.153;1687;D
Sn;1.5748822;4.4544396;3.1497644;0.26;-192.7639436;52;1.62;505.08;D
Ti;1.3953989;3.9467842;2.7907979;0.37;84.8745783;30;1.462;1941;D
V;1.3054081;3.8075;2.6108162;0.37;181.4700104;47;1.316;2183;A
Zr;1.553972;4.3952966;3.1079441;0.35;-102.4071895;30;1.603;2128;D
